Cause
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
Overload
No fault found
No fault found
Bird nest
Bird nest
vegetation
Bird strike
Bird strike
No fault found
Suspect bird strike
Suspect bird strike
OLE Equipment Failure
OLE Equipment Failure
Suspect bird strike
Suspect bird strike
No fault found
No fault found
No fault found
No fault found
Bird Strike
Bird Strike
Bird strike
Bird strike
vegetation
vegetation
Bird nest 
Bird nest 
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
Bird Strike
Bird Strike
Bird strike
Bird strike
Bird strike
vegetation
vegetation
OLE Equipment Failure
OLE Equipment Failure
OLE Equipment Failure
OLE Equipment Failure
OLE Equipment Failure
No fault found
No fault found
Bird Strike
Bird Strike
Bird Strike
Bird Strike
Bird Strike
Bird strike
Bird strike
No fault found
No fault found
Historic fault closed
Historic fault closed
Historic fault closed
No fault found
No fault found
No fault found
Bird Strike
OLE Equipment Failure
No fault found
No fault found
Bird Strike
Suspect bird strike
Suspect bird strike
Distribution
Distribution
Distribution
Distribution
Distribution
Bird strike
Bird strike
Distribution
vegetation
vegetation
Distribution
No fault found
Bird strike
Bird strike
Bird strike
Bird strike
OLE Equipment Failure
No fault found
No fault found
Foreign Object
Foreign Object
Foreign Object
Foreign Object
Foreign Object
No fault found
No fault found
Overload
Overload
No fault found
Vegetation
Bird Strike
vegetation
vegetation
vegetation
vegetation
vegetation
vegetation
vegetation
vegetation
Bird Strike
Overload
No fault found
No fault found
No fault found
No fault found
Bird Strike
Bird Strike
Historic fault closed
Historic fault closed
Bird Strike
Bird Strike
Bird Strike
Bird Strike
Bird strike
OLE Equipment Failure
OLE Equipment Failure
No fault found
Overload
Overload
Other Discipline/ Third Party
Other Discipline/ Third Party
No fault found
No fault found
No fault found
No fault found
No fault found
Foreign Object
Foreign Object
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
Bird Strike
No fault found
OLE Equipment Failure
OLE Equipment Failure
OLE Equipment Failure
Bird Strike
Bird Strike
OLE Equipment Failure
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
No fault found
vegetation
vegetation
No fault found
No fault found
No fault found
Bird Strike
Bird Strike
No fault found
No fault found
Bird Strike
No fault found
No fault found
No fault found
No fault found
No fault found
Bird nest 
Bird nest 
Bird nest 
Bird nest 
No fault found
No fault found
Distribution
